NAME,PLATFORM,YEAR,GENRE,PUBLISHER,NA_PERCENT,EU_PERCENT,JP_PERCENT,OTHER_PERCENT
X-Men: Reign of Apocalypse,GBA,2001.0,Action,Activision,71.43,28.57,0.0,3.57
R: Racing Evolution,PS2,2003.0,Racing,Namco Bandai Games,50.0,39.29,0.0,14.29
Tony Hawk: Shred,PS3,2010.0,Sports,Activision,64.29,25.0,0.0,14.29
Netsu Chu! Pro Yakyuu 2003,PS2,2003.0,Sports,Namco Bandai Games,0.0,0.0,100.0,0.0
ATV Quad Power Racing 2,GC,2003.0,Racing,Acclaim Entertainment,78.57,21.43,0.0,3.57
Digimon Adventure: Anode Tamer,WS,1999.0,Role-Playing,Namco Bandai Games,0.0,0.0,100.0,0.0
Fantastic 4: Flame On,GBA,2005.0,Action,Activision,71.43,28.57,0.0,3.57
Siren: Blood Curse,PS3,2008.0,Action,Sony Computer Entertainment,0.0,60.71,32.14,7.14
Pro Evolution Soccer 2017,PS4,2016.0,Sports,Konami Digital Entertainment,3.57,57.14,32.14,10.71
Chromehounds,X360,2006.0,Simulation,Sega,85.71,0.0,3.57,7.14
Marvel Nemesis: Rise of the Imperfects,XB,2005.0,Fighting,Electronic Arts,75.0,21.43,0.0,3.57
The King of Fighters '95,SAT,1995.0,Fighting,SNK Playmore,0.0,0.0,100.0,0.0
Pirates of the Caribbean: Dead Man's Chest,PSP,2006.0,Adventure,Disney Interactive Studios,89.29,3.57,0.0,7.14
Assassin's Creed II: Discovery,DS,2009.0,Action,Ubisoft,53.57,39.29,0.0,10.71
F/A-18F Super Hornet,GBA,2004.0,Simulation,Majesco Entertainment,71.43,28.57,0.0,3.57
Avatar: The Last Airbender,Wii,2006.0,Adventure,THQ,85.71,7.14,0.0,7.14
Final Fantasy VI Advance,GBA,2006.0,Role-Playing,Nintendo,0.0,0.0,100.0,3.57
Polaris,2600,1982.0,Action,Tigervision,92.86,7.14,0.0,0.0
Viewtiful Joe,PS2,2004.0,Action,Capcom,50.0,39.29,0.0,14.29
Triple Play 2000,N64,1999.0,Sports,Electronic Arts,96.43,3.57,0.0,0.0
Beyblade: Metal Masters,DS,2010.0,Action,Konami Digital Entertainment,57.14,35.71,0.0,10.71
Need for Speed: Most Wanted,WiiU,2013.0,Racing,Electronic Arts,50.0,42.86,0.0,7.14
Arcade Hits: Frisky Tom,PS,2002.0,Action,Hamster Corporation,57.14,39.29,0.0,7.14
Dead to Rights: Retribution,PS3,2010.0,Shooter,Namco Bandai Games,35.71,42.86,7.14,17.86
Harry Potter and the Sorcerer's Stone,PS2,2003.0,Action,Electronic Arts,50.0,39.29,0.0,14.29
Unreal Championship 2: The Liandri Conflict,XB,,Shooter,Midway Games,78.57,17.86,0.0,3.57
Kung Fu Chaos,XB,2003.0,Fighting,Microsoft Game Studios,75.0,21.43,0.0,3.57
Mega Man: Dr. Wily's Revenge,GB,1991.0,Platform,Nintendo,0.0,0.0,100.0,0.0
Yu-Gi-Oh! World Championship 2008,DS,2007.0,Strategy,Konami Digital Entertainment,46.43,7.14,42.86,3.57
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016.0,Fighting,Namco Bandai Games,67.86,21.43,0.0,10.71
Godzilla: Domination!,GBA,2002.0,Fighting,Atari,71.43,25.0,0.0,3.57
Sly Cooper: Thieves in Time,PSV,2013.0,Platform,Sony Computer Entertainment Europe,57.14,21.43,0.0,17.86
Tales of the World: Radiant Mythology 3,PSP,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,100.0,0.0
Famista '92,NES,1991.0,Sports,Namco Bandai Games,0.0,0.0,100.0,0.0
Jissen Pachi-Slot Hisshouhou! Moujuu-Oh S,PS2,2002.0,Misc,Sammy Corporation,0.0,0.0,100.0,0.0
Jackass the Game,PS2,2007.0,Action,Empire Interactive,50.0,39.29,0.0,14.29
Mega Man II,GB,1991.0,Platform,Nintendo,0.0,0.0,100.0,0.0
Lord of Darkness,SNES,1991.0,Action,Tecmo Koei,0.0,0.0,100.0,0.0
Hannah Montana: Spotlight World Tour,PS2,2008.0,Action,Disney Interactive Studios,42.86,7.14,0.0,50.0
Rocket Power: Beach Bandits,GBA,2002.0,Platform,THQ,71.43,25.0,0.0,3.57
Surf's Up,DS,2007.0,Sports,Ubisoft,92.86,0.0,0.0,7.14
Carol Vorderman's Sudoku,PS2,2006.0,Puzzle,Xplosiv,0.0,82.14,0.0,17.86
MX SuperFly featuring Ricky Carmichael,PS2,2002.0,Racing,THQ,50.0,39.29,0.0,14.29
Remington Super Slam Hunting: Africa,Wii,2010.0,Sports,Mastiff,96.43,0.0,0.0,7.14
Army of Two: The Devil's Cartel,PS3,2013.0,Shooter,Electronic Arts,39.29,39.29,3.57,17.86
Syphon Filter: Dark Mirror,PS2,2007.0,Shooter,Sony Computer Entertainment,50.0,39.29,0.0,14.29
Conflict: Desert Storm II - Back to Bagdhad,XB,2003.0,Shooter,SCi,75.0,21.43,0.0,3.57
Guitar Hero Live,PS3,2015.0,Misc,Activision,32.14,50.0,0.0,17.86
Mission: Impossible - Operation Surma,PS2,2003.0,Platform,Atari,50.0,39.29,0.0,14.29
Sesame Street: Elmo's A-to-Zoo Adventure,DS,2010.0,Misc,Warner Bros. Interactive Entertainment,96.43,0.0,0.0,7.14
MLB 07: The Show,PSP,2007.0,Sports,Sony Computer Entertainment,92.86,0.0,0.0,7.14
Pitfall: The Mayan Adventure,GBA,2001.0,Platform,Interplay,71.43,25.0,0.0,3.57
Driver: Parallel Lines,PS2,2006.0,Racing,Atari,42.86,35.71,10.71,10.71
Sing Party,WiiU,2012.0,Misc,Nintendo,46.43,42.86,0.0,7.14
Shrek: Ogres & Dronkeys,DS,2007.0,Simulation,Activision,92.86,0.0,0.0,7.14
Monopoly,DS,2010.0,Misc,Electronic Arts,57.14,35.71,0.0,10.71
Hot Wheels: Track Attack,DS,2010.0,Racing,THQ,64.29,28.57,0.0,7.14
Backyard Wrestling 2: There Goes the Neighborhood,PS2,2004.0,Fighting,Eidos Interactive,50.0,39.29,0.0,14.29
Virtua Fighter 5 Online,X360,2007.0,Fighting,Sega,71.43,10.71,10.71,7.14
Disney's Treasure Planet,GBA,2002.0,Action,Ubisoft,71.43,25.0,0.0,3.57
Dead or Alive,PS,1998.0,Fighting,Sony Computer Entertainment,32.14,21.43,35.71,7.14
Wild ARMs 5,PS2,2006.0,Role-Playing,505 Games,50.0,39.29,0.0,14.29
Bionic Commando,X360,2009.0,Platform,Capcom,42.86,42.86,3.57,10.71
NFL Blitz 20-02,PS2,2002.0,Sports,Midway Games,50.0,39.29,0.0,14.29
Mega Man 7,SNES,1995.0,Platform,Laguna,10.71,3.57,82.14,3.57
NCAA March Madness 2005,XB,2004.0,Sports,Electronic Arts,75.0,21.43,0.0,3.57
Shadows of the Damned,PS3,2011.0,Action,Electronic Arts,39.29,32.14,14.29,14.29
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,,Action,Disney Interactive Studios,78.57,21.43,0.0,3.57
NBA In The Zone,PS,1995.0,Sports,Konami Digital Entertainment,57.14,39.29,0.0,7.14
Corvette,GBA,2003.0,Racing,TDK Mediactive,71.43,25.0,0.0,3.57
F1 ROC: Race of Champions,SNES,1992.0,Sports,Ocean,0.0,0.0,100.0,0.0
Just Dance 2015,PS3,2014.0,Misc,Ubisoft,42.86,39.29,0.0,17.86
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GC,2004.0,Action,THQ,78.57,21.43,0.0,3.57
Silent Hill 2: Restless Dreams,XB,2001.0,Action,Konami Digital Entertainment,75.0,21.43,0.0,3.57
Cabela's Big Game Hunter 2012,X360,2011.0,Sports,Activision,85.71,7.14,0.0,7.14
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action,Square Enix,0.0,0.0,100.0,0.0
Moshi Monsters: Moshlings Theme Park,3DS,2012.0,Misc,Activision,46.43,46.43,0.0,10.71
UEFA Euro 2016,PS4,2016.0,Sports,Konami Digital Entertainment,0.0,75.0,10.71,10.71
Soul Nomad & the World Eaters,PS2,2007.0,Role-Playing,Tecmo Koei,50.0,39.29,0.0,14.29
RollerCoaster Tycoon 3,PC,2004.0,Strategy,Atari,3.57,78.57,0.0,17.86
Bass Strike,PS2,2001.0,Sports,THQ,50.0,39.29,0.0,14.29
NHL Hitz 20-03,PS2,2002.0,Sports,Midway Games,50.0,39.29,0.0,14.29
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014.0,Action,Nippon Ichi Software,35.71,10.71,42.86,14.29
Pac-Man Fever,GC,,Misc,Unknown,75.0,21.43,0.0,3.57
Over the Hedge,DS,2006.0,Platform,Activision,89.29,3.57,0.0,7.14
Real Pool,PS2,2000.0,Sports,Midas Interactive Entertainment,50.0,39.29,0.0,14.29
iCarly 2: iJoin The Click!,DS,2010.0,Adventure,Activision,92.86,3.57,0.0,7.14
The Warriors,PSP,2007.0,Action,Take-Two Interactive,82.14,7.14,0.0,10.71
Mister Mosquito,PS2,2001.0,Shooter,Eidos Interactive,17.86,14.29,60.71,3.57
Kakyuusei,SAT,1997.0,Strategy,Elf,0.0,0.0,100.0,0.0
Patapon 3,PSP,2011.0,Misc,Sony Computer Entertainment,17.86,14.29,60.71,7.14
Sesame Street: Cookie's Counting Carnival,DS,2010.0,Misc,Warner Bros. Interactive Entertainment,92.86,0.0,0.0,7.14
Civilization II,PS,1998.0,Strategy,Activision,53.57,39.29,0.0,7.14
Guitar Hero: Van Halen,PS3,2009.0,Misc,Activision,50.0,32.14,0.0,14.29
Dynasty Warriors: Gundam,PS2,2008.0,Action,Namco Bandai Games,0.0,0.0,100.0,0.0
Madagascar,XB,2005.0,Platform,Activision,75.0,21.43,0.0,3.57
Transformers: Cybertron Adventures,Wii,2010.0,Action,Activision,53.57,35.71,0.0,10.71
Indiana Jones and the Staff of Kings,PS2,2009.0,Action,Activision,39.29,3.57,0.0,57.14
F-1 Grand Prix,SNES,1992.0,Racing,Video System,0.0,0.0,100.0,0.0
Mass Effect 3,WiiU,2012.0,Role-Playing,Electronic Arts,50.0,39.29,0.0,7.14
Pinkalicious,DS,2011.0,Misc,GameMill Entertainment,92.86,0.0,0.0,7.14
SimCity 2000,SAT,1994.0,Simulation,Sega,0.0,0.0,100.0,0.0
Deer Hunter,PS2,2003.0,Sports,Atari,50.0,39.29,0.0,14.29
Pokemon Box: Ruby & Sapphire,GC,2003.0,Misc,Nintendo,0.0,0.0,96.43,3.57
Puyo Puyo! 15th Anniversary,DS,2006.0,Puzzle,Sega,0.0,0.0,100.0,0.0
Yu-Gi-Oh! Monster Capsule Breed & Battle,PS,1998.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,92.86,7.14
FIFA Soccer 07,X360,2006.0,Sports,Electronic Arts,85.71,3.57,0.0,7.14
Mass Effect Trilogy,PC,2012.0,Action,Electronic Arts,32.14,57.14,0.0,10.71
Dave Mirra Freestyle BMX 2,GC,2001.0,Sports,Acclaim Entertainment,75.0,21.43,0.0,3.57
AC/DC LIVE: Rock Band Track Pack,Wii,2008.0,Misc,MTV Games,89.29,0.0,0.0,7.14
My Japanese Coach,DS,2008.0,Misc,Ubisoft,89.29,0.0,0.0,7.14
Puppeteer,PS3,2013.0,Platform,Sony Computer Entertainment Europe,39.29,35.71,7.14,14.29
Warpath: Jurassic Park,PS,1998.0,Fighting,Electronic Arts,53.57,35.71,0.0,7.14
Tak and the Guardians of Gross,PS2,2008.0,Action,THQ,50.0,39.29,0.0,14.29
True Crime: New York City,XB,2005.0,Action,Activision,75.0,21.43,0.0,3.57
Summer Heat Beach Volleyball,PS2,2003.0,Sports,Acclaim Entertainment,50.0,39.29,0.0,14.29
NCAA Basketball 09,PS2,2008.0,Sports,Electronic Arts,50.0,39.29,0.0,14.29
One Piece Unlimited Cruise 1: The Treasure Beneath the Waves,Wii,2008.0,Adventure,Namco Bandai Games,0.0,25.0,67.86,3.57
Marvel Super Hero Squad: The Infinity Gauntlet,Wii,2010.0,Action,THQ,78.57,14.29,0.0,7.14
Dead Rising 2: Off the Record,X360,2011.0,Action,Capcom,60.71,32.14,0.0,7.14
Power Pro Kun Pocket 3,GBA,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,96.43,3.57
Myst III: Exile,PS2,2002.0,Adventure,Ubisoft,50.0,39.29,0.0,14.29
Castlevania: Aria of Sorrow,GBA,2003.0,Platform,Konami Digital Entertainment,71.43,25.0,0.0,0.0
NBA 2K12,PSP,2011.0,Sports,Take-Two Interactive,78.57,10.71,0.0,10.71
R.U.S.E.,PC,2010.0,Strategy,Ubisoft,14.29,67.86,0.0,17.86
Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996.0,Shooter,Namco Bandai Games,0.0,0.0,100.0,0.0
Armored Core: Project Phantasma,PS,1997.0,Simulation,From Software,21.43,14.29,53.57,7.14
Donkey Kong GB: Dinky Kong & Dixie Kong,GB,2000.0,Platform,Nintendo,0.0,0.0,100.0,0.0
Kobitodzukan: Kobito Kansatsu Set,3DS,2012.0,Misc,Nippon Columbia,0.0,0.0,100.0,0.0
ExciteBots: Trick Racing,Wii,2009.0,Racing,Nintendo,92.86,0.0,0.0,7.14
Pro Evolution Soccer 2013,PSP,2012.0,Sports,Konami Digital Entertainment,0.0,25.0,64.29,10.71
Deadpool,PS4,2015.0,Action,Activision,46.43,35.71,0.0,17.86
Nichibutsu Arcade Classics,SNES,1995.0,Misc,Nichibutsu,0.0,0.0,100.0,0.0
Kenka Bancho: Badass Rumble,PSP,2008.0,Action,Spike,22.22,0.0,74.07,3.7
Cabela's Trophy Bucks,PS2,2007.0,Sports,Activision Value,48.15,40.74,0.0,14.81
Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2,DS,2007.0,Misc,Nintendo,0.0,0.0,100.0,0.0
Q-Ball: Billiards Master,PS2,2000.0,Sports,Take-Two Interactive,48.15,37.04,0.0,14.81
Mr. Do!,2600,1982.0,Action,Coleco,96.3,7.41,0.0,0.0
How to Train Your Dragon 2,Wii,2014.0,Adventure,Little Orbit,18.52,74.07,0.0,7.41
Boogie,DS,2007.0,Misc,Electronic Arts,92.59,0.0,0.0,7.41
Tao Feng: Fist of the Lotus,XB,2003.0,Fighting,Microsoft Game Studios,77.78,22.22,0.0,3.7
Rapala Pro Bass Fishing 2010,PS3,2010.0,Sports,Activision,66.67,22.22,0.0,11.11
Shin Nippon Pro Wrestling: Toukon Retsuden 2,PS,1996.0,Fighting,Tomy Corporation,0.0,0.0,96.3,7.41
Dragon Ball Z: Budokai 2,GC,2004.0,Fighting,Atari,77.78,22.22,0.0,3.7
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,,Action,N/A,0.0,0.0,100.0,3.7
Motocross Maniacs Advance,GBA,2002.0,Racing,Konami Digital Entertainment,74.07,25.93,0.0,0.0
Resident Evil 2: Dual Shock Edition,PS,1998.0,Action,Capcom,0.0,0.0,96.3,7.41
Dynasty Warriors,PS,1997.0,Action,Tecmo Koei,33.33,22.22,40.74,7.41
M&M's Blast!,GBA,2001.0,Puzzle,Unknown,74.07,25.93,0.0,0.0
Zumba Fitness: World Party,Wii,2013.0,Misc,Majesco Entertainment,51.85,40.74,0.0,11.11
Need for Speed: Most Wanted,DS,2005.0,Racing,Electronic Arts,88.89,3.7,0.0,7.41
Final Fantasy X International,PS2,2004.0,Role-Playing,Square Enix,0.0,0.0,100.0,0.0
Tiny Toon Adventures: Plucky's Big Adventure,PS,2001.0,Action,Conspiracy Entertainment,55.56,37.04,0.0,7.41
NHL Hitz 20-02,XB,2001.0,Sports,Midway Games,74.07,22.22,0.0,3.7
Iron Man 2,X360,2010.0,Action,Sega,55.56,37.04,0.0,11.11
Indy 500,2600,,Racing,Atari,96.3,3.7,0.0,0.0
Littlest Pet Shop: Beach Friends,DS,2009.0,Simulation,Electronic Arts,92.59,0.0,0.0,7.41
Trivial Pursuit,PS2,2009.0,Misc,Electronic Arts,33.33,3.7,0.0,62.96
Suikoden Tierkreis,DS,2008.0,Role-Playing,Konami Digital Entertainment,33.33,3.7,55.56,3.7
Evil Dead: Hail to the King,PS,2000.0,Adventure,THQ,55.56,37.04,0.0,7.41
Dragon Ball GT: Final Bout,PS,1997.0,Fighting,Namco Bandai Games,7.41,7.41,81.48,7.41
Burstrick: Wake Boarding!!,PS,2000.0,Sports,Natsume,55.56,37.04,0.0,7.41
Dave Mirra Freestyle BMX: Maximum Remix,PS,2001.0,Sports,Acclaim Entertainment,55.56,37.04,0.0,7.41
Divinity: Original Sin,PS4,2015.0,Role-Playing,Focus Home Interactive,33.33,44.44,7.41,14.81
R.U.S.E.,X360,2010.0,Strategy,Ubisoft,44.44,44.44,0.0,11.11
Hatsune Miku: Project Diva f,PS3,2013.0,Misc,Sega,29.63,0.0,70.37,3.7
Resident Evil: Deadly Silence,DS,2006.0,Action,Capcom,44.44,11.11,40.74,3.7
Pac-Pix,DS,2005.0,Puzzle,Namco Bandai Games,59.26,0.0,37.04,3.7
Beamrider,2600,1984.0,Racing,Activision,96.3,3.7,0.0,0.0
EyePet,PSP,2010.0,Simulation,Sony Computer Entertainment,7.41,62.96,0.0,33.33
The Evil Within,PC,2014.0,Action,Bethesda Softworks,33.33,59.26,0.0,7.41
Athens 2004,PS2,2004.0,Sports,Sony Computer Entertainment,48.15,37.04,0.0,11.11
Gunship,PS,1996.0,Simulation,Microprose,55.56,37.04,0.0,7.41
Jikkyou Powerful Pro Yakyuu Portable 4,PSP,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,100.0,0.0
SD Gundam G Generation Portable,PSP,2006.0,Strategy,Namco Bandai Games,0.0,0.0,100.0,0.0
Sydney 2000,PS,2000.0,Sports,Eidos Interactive,55.56,37.04,0.0,7.41
Pro Race Driver,PS2,2002.0,Racing,Codemasters,48.15,37.04,0.0,11.11
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003.0,Role-Playing,Nintendo,77.78,18.52,0.0,3.7
Bishoujo Senshi Sailormoon R,SNES,1993.0,Fighting,Namco Bandai Games,0.0,0.0,100.0,0.0
The Club,X360,2008.0,Shooter,Sega,55.56,37.04,0.0,7.41
Slam Dunk: Yonkyo Taiketsu!!,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,100.0,0.0
Rhythm Thief & the Emperor's Treasure,3DS,2012.0,Misc,Sega,25.93,25.93,44.44,3.7
Rocky: Legends,PS2,2004.0,Action,Ubisoft,48.15,37.04,0.0,11.11
NickToons: Racing,GBA,2002.0,Racing,Infogrames,70.37,25.93,0.0,0.0
MotionSports: Adrenaline,X360,2011.0,Sports,Ubisoft,51.85,37.04,0.0,11.11
Tiger Woods PGA Tour 07,PSP,2006.0,Sports,Electronic Arts,74.07,14.81,0.0,14.81
Gun,X360,,Shooter,Activision,88.89,3.7,0.0,7.41
NHL 07,X360,2006.0,Sports,Electronic Arts,92.59,3.7,0.0,7.41
Flag Capture,2600,,Action,Atari,92.59,7.41,0.0,0.0
Bridge,2600,1980.0,Misc,Activision,92.59,7.41,0.0,0.0
G-Force,PS2,2009.0,Action,Disney Interactive Studios,44.44,3.7,0.0,51.85
LEGO Harry Potter: Years 5-7,PSP,,Action,Warner Bros. Interactive Entertainment,37.04,40.74,0.0,22.22
The Adventures of Tintin: The Game,PS3,2011.0,Action,Ubisoft,22.22,59.26,0.0,18.52
RalliSport Challenge 2,XB,2004.0,Racing,Microsoft Game Studios,66.67,29.63,0.0,3.7
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,GB,1996.0,Role-Playing,ChunSoft,0.0,0.0,100.0,0.0
Wave Rally,PS2,2001.0,Racing,Eidos Interactive,48.15,37.04,0.0,11.11
Over the Hedge,GBA,2006.0,Platform,Activision,70.37,25.93,0.0,0.0
Disgaea 5: Alliance of Vengeance,PS4,2015.0,Role-Playing,Nippon Ichi Software,37.04,29.63,22.22,14.81
Disney's Chicken Little,GC,2005.0,Platform,Disney Interactive Studios,77.78,18.52,0.0,3.7
Battle of Giants: Mutant Insects,DS,2010.0,Strategy,Ubisoft,33.33,55.56,0.0,11.11
Ty the Tasmanian Tiger,GC,2002.0,Platform,Electronic Arts,77.78,18.52,0.0,3.7
Sengoku Basara 4,PS3,2014.0,Action,Capcom,0.0,0.0,100.0,0.0
Yu-Gi-Oh! The Sacred Cards (JP weekly sales),GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,96.3,3.7
WWE Road to WrestleMania X8,GBA,2002.0,Fighting,THQ,70.37,25.93,0.0,0.0
Medarot 3: Kabuto / Kuwagata Version,GB,2000.0,Role-Playing,Imagineer,0.0,0.0,100.0,0.0
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2004.0,Role-Playing,Square Enix,48.15,37.04,0.0,11.11
Sherlock Holmes: Crimes & Punishments,PS4,2014.0,Adventure,Focus Home Interactive,29.63,51.85,0.0,18.52
NASCAR 06: Total Team Control,XB,2005.0,Racing,Electronic Arts,74.07,22.22,0.0,3.7
Bratz: The Movie,Wii,2007.0,Simulation,THQ,88.89,3.7,0.0,7.41
BloodRayne 2,PS2,2004.0,Shooter,THQ,48.15,37.04,0.0,11.11
Spider-Man: Web of Shadows,PS3,2008.0,Action,Activision,74.07,14.81,0.0,11.11
NHL 2002,XB,2001.0,Sports,Electronic Arts,74.07,22.22,0.0,3.7
Reader Rabbit Kindergarten,DS,2008.0,Misc,Nordic Games,92.59,0.0,0.0,7.41
Tropico 4,PC,2011.0,Strategy,Kalypso Media,37.04,48.15,0.0,14.81
NBA In The Zone '98,N64,1997.0,Sports,Konami Digital Entertainment,92.59,7.41,0.0,0.0
Jikkyou Powerful Pro Yakyuu 5,N64,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,100.0,0.0
NBA Jam 99,N64,1998.0,Sports,Acclaim Entertainment,92.59,7.41,0.0,0.0
Shadow Man,N64,1999.0,Action,Acclaim Entertainment,66.67,29.63,0.0,3.7
Command & Conquer,N64,1999.0,Strategy,Nintendo,81.48,18.52,0.0,0.0
Call of Juarez: The Cartel,X360,2011.0,Shooter,Ubisoft,51.85,40.74,0.0,11.11
Shadow of Rome,PS2,2005.0,Action,Capcom,48.15,37.04,0.0,11.11
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012.0,Action,Nintendo,0.0,0.0,100.0,0.0
Tales of Eternia,PSP,2005.0,Role-Playing,Ubisoft,0.0,3.7,92.59,3.7
Harry Potter and the Order of the Phoenix,PS2,2007.0,Action,Electronic Arts,48.15,37.04,0.0,11.11
Ben 10 Triple Pack,DS,2011.0,Misc,D3Publisher,48.15,44.44,0.0,11.11
Need for Speed Rivals,PC,2013.0,Racing,Electronic Arts,14.81,70.37,0.0,14.81
Stuntman: Ignition,PS2,2007.0,Racing,THQ,48.15,37.04,0.0,11.11
Fantastic 4,XB,2005.0,Action,Activision,74.07,22.22,0.0,3.7
Mat Hoffman's Pro BMX,GBA,2001.0,Sports,Activision,70.37,25.93,0.0,0.0
MotoGP,PS2,2000.0,Racing,Namco Bandai Games,22.22,18.52,51.85,7.41
The Penguins of Madagascar,DS,2010.0,Action,THQ,48.15,44.44,0.0,7.41
Summer Athletics: The Ultimate Challenge (US sales),Wii,2008.0,Sports,DTP Entertainment,85.19,14.81,0.0,0.0
Rock Revolution,X360,2008.0,Misc,Konami Digital Entertainment,92.59,0.0,0.0,7.41
Etrian Odyssey II: Heroes of Lagaard,DS,2008.0,Role-Playing,Atlus,37.04,0.0,59.26,3.7
LEGO The Hobbit,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,48.15,44.44,0.0,7.41
Jikkyou Powerful Pro Yakyuu 2,SNES,1995.0,Sports,Konami Digital Entertainment,0.0,0.0,100.0,0.0
The Incredible Hulk,PS3,2008.0,Action,Sega,81.48,11.11,0.0,11.11
Resident Evil: Revelations,X360,2013.0,Action,Capcom,44.44,40.74,7.41,7.41
Major League Baseball 2K10,Wii,2010.0,Sports,Take-Two Interactive,92.59,0.0,0.0,7.41
NASCAR 2011: The Game,PS3,2011.0,Racing,Activision,92.59,0.0,0.0,7.41
Thoroughbred Breeder II,SNES,1994.0,Simulation,Hect,0.0,0.0,100.0,0.0
Shin Megami Tensei: Devil Survivor,DS,2009.0,Role-Playing,Atlus,51.85,0.0,44.44,3.7
Magical Vacation,GBA,2001.0,Role-Playing,Nintendo,0.0,0.0,96.3,3.7
XGIII: Extreme G Racing,PS2,2001.0,Racing,Acclaim Entertainment,48.15,37.04,0.0,11.11
NBA Live 2004,GC,2003.0,Sports,Electronic Arts,77.78,18.52,0.0,3.7
Dragon Ball: XenoVerse,X360,2015.0,Fighting,Namco Bandai Games,59.26,29.63,0.0,7.41
NASCAR Thunder 2003,XB,2002.0,Racing,Electronic Arts,74.07,22.22,0.0,3.7
Section 8,X360,2009.0,Shooter,SouthPeak Games,55.56,33.33,0.0,11.11
Superbike 2000,PS,1999.0,Racing,Electronic Arts,55.56,37.04,0.0,7.41
America's Test Kitchen: Let's Get Cooking,DS,2010.0,Simulation,Nintendo,92.59,0.0,0.0,7.41
Final Fantasy XI: Ultimate Collection,X360,2009.0,Role-Playing,Square Enix,92.59,0.0,0.0,7.41
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010.0,Strategy,Nintendo,0.0,0.0,100.0,0.0
F1 2016 (Codemasters),PS4,2016.0,Racing,Codemasters,3.7,77.78,3.7,14.81
Connect Four / Perfection / Trouble,GBA,2005.0,Misc,Zoo Digital Publishing,70.37,25.93,0.0,0.0
Wipeout 2,X360,2011.0,Misc,Activision,92.59,0.0,0.0,7.41
Ratatouille,X360,2007.0,Action,THQ,85.19,7.41,0.0,7.41
The Incredible Hulk,X360,2008.0,Action,Sega,81.48,11.11,0.0,7.41
Dora the Explorer: Dora Saves the Crystal Kingdom,Wii,2009.0,Misc,Take-Two Interactive,88.89,3.7,0.0,7.41
Alundra 2: A New Legend Begins,PS,1999.0,Role-Playing,Activision,55.56,37.04,0.0,7.41
Reign of Fire,PS2,2002.0,Shooter,BAM! Entertainment,48.15,37.04,0.0,11.11
Scooby-Doo! and the Spooky Swamp,PS2,2010.0,Action,Warner Bros. Interactive Entertainment,29.63,40.74,0.0,29.63
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,92.59,7.41
Ace Attorney 6,3DS,2016.0,Adventure,Capcom,0.0,0.0,100.0,0.0
The Sims 2: Pets,GC,2006.0,Simulation,Electronic Arts,77.78,18.52,0.0,3.7
Cake Mania 2: Jill's Next Adventure!,DS,2008.0,Puzzle,Majesco Entertainment,88.89,0.0,0.0,7.41
Batman: Arkham Origins Blackgate,3DS,2013.0,Action,Warner Bros. Interactive Entertainment,59.26,33.33,0.0,7.41
The BIGS,X360,2007.0,Sports,Take-Two Interactive,66.67,29.63,0.0,0.0
Initial D: Special Stage,PS2,2003.0,Racing,Sega,0.0,0.0,100.0,0.0
Madden NFL 08,DS,2007.0,Sports,Electronic Arts,88.89,0.0,0.0,7.41
Jurassic Park: Operation Genesis,PS2,2003.0,Simulation,Konami Digital Entertainment,48.15,37.04,0.0,11.11
Family Feud: 2010 Edition,DS,2009.0,Misc,Ubisoft,92.59,0.0,0.0,7.41
Final Doom,PS,1995.0,Shooter,GT Interactive,55.56,37.04,0.0,7.41
Deadly Premonition,X360,2010.0,Action,Rising Star Games,66.67,22.22,0.0,7.41
Rock Revolution,PS3,,Misc,Unknown,92.59,0.0,0.0,7.41
Are You Smarter than a 5th Grader? Game Time,Wii,2009.0,Puzzle,THQ,92.59,0.0,0.0,7.41
